trainee_id,programme_id,district,avg_skill_score,total_assessments,is_employed
T102,P001,Hyderabad,0.0,0,1
T103,P002,Bengaluru,0.0,0,1
T104,P003,Chennai,77.0,4,0
T106,P002,Hyderabad,0.0,0,1
T108,P002,Krishna,0.0,0,1
T109,P003,Visakhapatnam,0.0,0,1
T110,P003,Guntur,0.0,0,1
T111,P001,Guntur,0.0,0,1
T112,P001,Hyderabad,0.0,0,1
T113,P001,Hyderabad,0.0,0,1
T116,P003,Chennai,0.0,0,1
T117,P003,Krishna,73.71428571428571,7,0
T118,P001,Chennai,0.0,0,1
T120,P002,Visakhapatnam,0.0,0,1
T122,P001,Hyderabad,77.88888888888889,9,0
T123,P001,Hyderabad,0.0,0,1
T124,P002,Krishna,0.0,0,1
T125,P003,Krishna,0.0,0,1
T126,P002,Bengaluru,0.0,0,1
T127,P003,Krishna,0.0,0,1
T128,P001,Bengaluru,0.0,0,1
T129,P001,Visakhapatnam,74.77777777777777,9,0
T130,P003,Krishna,0.0,0,1
T131,P001,Chennai,0.0,0,1
T132,P003,Guntur,0.0,0,1
T133,P003,Hyderabad,0.0,0,1
T135,P001,Krishna,0.0,0,1
T136,P001,Chennai,0.0,0,1
T137,P003,Guntur,0.0,0,1
T138,P002,Bengaluru,0.0,0,1
T139,P003,Guntur,0.0,0,1
T140,P002,Guntur,0.0,0,1
T141,P003,Hyderabad,79.11111111111111,9,0
T142,P001,Bengaluru,0.0,0,1
T144,P003,Bengaluru,0.0,0,1
T146,P001,Visakhapatnam,0.0,0,1
T147,P003,Chennai,0.0,0,1
T148,P003,Guntur,0.0,0,1
T150,P002,Hyderabad,75.75,4,0
T151,P003,Hyderabad,0.0,0,1
T153,P001,Visakhapatnam,0.0,0,1
T154,P001,Krishna,0.0,0,1
