trainee_id,programme_id,district,avg_skill_score,total_assessments,latest_salary
T102,P001,Hyderabad,0.0,0,18000.0
T103,P002,Bengaluru,0.0,0,12000.0
T105,P002,Krishna,0.0,0,18000.0
T106,P002,Hyderabad,0.0,0,25000.0
T107,P003,Guntur,0.0,0,20000.0
T108,P002,Krishna,0.0,0,9000.0
T109,P003,Visakhapatnam,0.0,0,28000.0
T110,P003,Guntur,0.0,0,13000.0
T111,P001,Guntur,0.0,0,16000.0
T112,P001,Hyderabad,0.0,0,23000.0
T113,P001,Hyderabad,0.0,0,10000.0
T114,P002,Chennai,0.0,0,14000.0
T115,P003,Visakhapatnam,0.0,0,19000.0
T116,P003,Chennai,0.0,0,19000.0
T118,P001,Chennai,0.0,0,30000.0
T119,P002,Visakhapatnam,0.0,0,26000.0
T120,P002,Visakhapatnam,0.0,0,22000.0
T121,P003,Krishna,0.0,0,13000.0
T123,P001,Hyderabad,0.0,0,12000.0
T124,P002,Krishna,0.0,0,18000.0
T125,P003,Krishna,0.0,0,9000.0
T126,P002,Bengaluru,0.0,0,14000.0
T127,P003,Krishna,0.0,0,18000.0
T128,P001,Bengaluru,0.0,0,13000.0
T130,P003,Krishna,0.0,0,16000.0
T131,P001,Chennai,0.0,0,21000.0
T132,P003,Guntur,0.0,0,9000.0
T133,P003,Hyderabad,0.0,0,27000.0
T134,P002,Chennai,0.0,0,17000.0
T135,P001,Krishna,0.0,0,13000.0
T136,P001,Chennai,0.0,0,28000.0
T137,P003,Guntur,0.0,0,23000.0
T138,P002,Bengaluru,0.0,0,25000.0
T139,P003,Guntur,0.0,0,23000.0
T140,P002,Guntur,0.0,0,21000.0
T142,P001,Bengaluru,0.0,0,21000.0
T143,P002,Chennai,0.0,0,11000.0
T144,P003,Bengaluru,0.0,0,19000.0
T145,P002,Visakhapatnam,0.0,0,12000.0
T146,P001,Visakhapatnam,0.0,0,27000.0
T147,P003,Chennai,0.0,0,12000.0
T148,P003,Guntur,0.0,0,21000.0
T149,P002,Bengaluru,0.0,0,26000.0
T151,P003,Hyderabad,0.0,0,17000.0
T152,P003,Bengaluru,0.0,0,11000.0
T153,P001,Visakhapatnam,0.0,0,12000.0
T154,P001,Krishna,0.0,0,13000.0
